date,site_section,device,country,ad_unit,ad_requests,matched_requests,impressions,clicks,estimated_revenue,match_rate,fill_rate,ctr,rpm,ecpm,rpm_7d_avg,anomaly_type,anomaly_detail
2026-02-26,sports,desktop,MX,top_banner,3063,2962,3589,59,8.17,0.967026,1.211681,0.016439,2.66732,2.2764,,impressions_gt_matched_requests,impressions (3589) is greater than matched_requests (2962).
2026-03-01,technology,desktop,AR,video_preroll,535,515,1405,7,2.89,0.962617,2.728155,0.004982,5.401869,2.05694,3.715529,impressions_gt_matched_requests,impressions (1405) is greater than matched_requests (515).
2026-03-01,home,desktop,BR,in_article,9675,7990,6179,119,7.58,0.82584,0.773342,0.019259,0.783463,1.226736,1.917511,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.7835; previous 7-day average is 1.9175.
2026-03-01,home,desktop,MX,in_article,3577,2971,2819,58,5.67,0.830584,0.948839,0.020575,1.585127,2.011352,2.3218289999999997,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.5851; previous 7-day average is 2.3218.
2026-03-01,home,desktop,MX,top_banner,4437,4086,3531,70,6.29,0.920892,0.86417,0.019824,1.417625,1.781365,1.9810693333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.4176; previous 7-day average is 1.9811.
2026-03-01,home,desktop,US,in_article,6109,5663,5038,35,7.31,0.926993,0.889634,0.006947,1.196595,1.450973,3.3009193333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.1966; previous 7-day average is 3.3009.
2026-03-01,home,mobile,BR,video_preroll,4803,3887,3162,57,4.41,0.809286,0.813481,0.018027,0.918176,1.394687,4.144982333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9182; previous 7-day average is 4.1450.
2026-03-01,home,mobile,MX,top_banner,6745,6525,5278,141,6.64,0.967383,0.808889,0.026715,0.984433,1.258052,2.341465,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.9844; previous 7-day average is 2.3415.
2026-03-01,home,mobile,MX,video_preroll,1821,1536,1220,3,3.39,0.843493,0.794271,0.002459,1.861614,2.778689,3.722683333333334,rpm_drop_gt_25pct_vs_7d_avg,rpm is 1.8616; previous 7-day average is 3.7227.
2026-03-01,home,mobile,US,video_preroll,3028,2633,2187,9,9.34,0.869551,0.830611,0.004115,3.084544,4.27069,6.071461,rpm_drop_gt_25pct_vs_7d_avg,rpm is 3.0845; previous 7-day average is 6.0715.
2026-03-01,home,tablet,BR,in_article,3262,2657,2446,40,1.73,0.814531,0.920587,0.016353,0.530349,0.707277,3.109151333333333,rpm_drop_gt_25pct_vs_7d_avg,rpm is 0.5303; previous 7-day average is 3.1092.
2026-03-01,home,tablet,BR,video_preroll,1201,1076,961,7,2.51,0.89592,0.893123,0.007284,2.089925,2.611863,3.988495,rpm_drop_gt_25pct_vs_7d_avg,rpm is 2.0899; previous 7-day average is 3.9885.
