date,site_section,device,country,ad_unit,ad_requests,matched_requests,impressions,clicks,estimated_revenue
2026-02-26,home,desktop,AR,in_article,2844,2397,2096,34,1.53
2026-02-26,home,desktop,AR,sidebar_rectangle,2092,1987,1571,30,1.64
2026-02-26,home,desktop,AR,top_banner,4140,3615,3493,69,8.22
2026-02-26,home,desktop,AR,video_preroll,961,800,724,11,4.45
2026-02-26,home,desktop,BR,in_article,7713,7074,6095,51,14.96
2026-02-26,home,desktop,BR,sidebar_rectangle,5720,5218,4477,65,7.77
2026-02-26,home,desktop,BR,top_banner,10710,9180,8620,74,6.31
2026-02-26,home,desktop,BR,video_preroll,2838,2408,1876,8,13.89
2026-02-26,home,desktop,MX,in_article,3705,3122,2471,17,6.83
2026-02-26,home,desktop,MX,sidebar_rectangle,2195,2097,1861,25,5.17
2026-02-26,home,desktop,MX,top_banner,4833,4366,3399,53,2.72
2026-02-26,home,desktop,MX,video_preroll,1178,1133,981,16,1.67
2026-02-26,home,desktop,US,in_article,5477,4739,3885,26,23.48
2026-02-26,home,desktop,US,sidebar_rectangle,3821,3127,2586,52,5.16
2026-02-26,home,desktop,US,top_banner,6842,6246,5112,159,27.36
2026-02-26,home,desktop,US,video_preroll,1642,1517,1393,14,11.3
2026-02-26,home,mobile,AR,in_article,4287,3799,3141,15,6.98
2026-02-26,home,mobile,AR,sidebar_rectangle,3030,2598,2462,25,2.12
2026-02-26,home,mobile,AR,top_banner,4886,4248,3756,95,11.02
2026-02-26,home,mobile,AR,video_preroll,1528,1277,1156,14,7.22
2026-02-26,home,mobile,BR,in_article,10481,9690,9040,68,20.53
2026-02-26,home,mobile,BR,sidebar_rectangle,8670,8289,7473,202,16.79
2026-02-26,home,mobile,BR,top_banner,15366,13266,12587,296,12.45
2026-02-26,home,mobile,BR,video_preroll,3911,3462,2679,47,14.1
2026-02-26,home,mobile,MX,in_article,5005,4272,3517,81,4.06
2026-02-26,home,mobile,MX,sidebar_rectangle,3587,2802,2614,59,8.33
2026-02-26,home,mobile,MX,top_banner,6675,6262,5723,72,20.87
2026-02-26,home,mobile,MX,video_preroll,1719,1490,1318,6,2.52
2026-02-26,home,mobile,US,in_article,7391,6420,4941,41,23.81
2026-02-26,home,mobile,US,sidebar_rectangle,6167,5943,4942,71,17.93
2026-02-26,home,mobile,US,top_banner,9606,8139,7923,229,42.4
2026-02-26,home,mobile,US,video_preroll,2977,2395,2070,13,17.68
2026-02-26,home,tablet,AR,in_article,1083,849,748,16,0.77
2026-02-26,home,tablet,AR,sidebar_rectangle,800,687,668,13,2.68
2026-02-26,home,tablet,AR,top_banner,1431,1249,1131,34,1.9
2026-02-26,home,tablet,AR,video_preroll,402,349,325,0,0.61
2026-02-26,home,tablet,BR,in_article,3834,3594,3370,43,13.75
2026-02-26,home,tablet,BR,sidebar_rectangle,2338,2052,1675,50,2.08
2026-02-26,home,tablet,BR,top_banner,4530,4321,3502,17,9.27
