date,site_section,device,country,ad_unit,ad_requests,matched_requests,impressions,clicks,estimated_revenue,match_rate,fill_rate,ctr,rpm,ecpm
2026-02-26,home,desktop,AR,in_article,2844,2397,2096,34,1.53,0.842827,0.874426,0.016221,0.537975,0.729962
2026-02-26,home,desktop,AR,sidebar_rectangle,2092,1987,1571,30,1.64,0.949809,0.790639,0.019096,0.783939,1.043921
2026-02-26,home,desktop,AR,top_banner,4140,3615,3493,69,8.22,0.873188,0.966252,0.019754,1.985507,2.353278
2026-02-26,home,desktop,AR,video_preroll,961,800,724,11,4.45,0.832466,0.905,0.015193,4.630593,6.146409
2026-02-26,home,desktop,BR,in_article,7713,7074,6095,51,14.96,0.917153,0.861606,0.008368,1.939583,2.454471
2026-02-26,home,desktop,BR,sidebar_rectangle,5720,5218,4477,65,7.77,0.912238,0.857992,0.014519,1.358392,1.735537
2026-02-26,home,desktop,BR,top_banner,10710,9180,8620,74,6.31,0.857143,0.938998,0.008585,0.589169,0.732019
2026-02-26,home,desktop,BR,video_preroll,2838,2408,1876,8,13.89,0.848485,0.77907,0.004264,4.894292,7.404051
2026-02-26,home,desktop,MX,in_article,3705,3122,2471,17,6.83,0.842645,0.79148,0.00688,1.843455,2.764063
2026-02-26,home,desktop,MX,sidebar_rectangle,2195,2097,1861,25,5.17,0.955353,0.887458,0.013434,2.355353,2.778076
2026-02-26,home,desktop,MX,top_banner,4833,4366,3399,53,2.72,0.903373,0.778516,0.015593,0.562797,0.800235
2026-02-26,home,desktop,MX,video_preroll,1178,1133,981,16,1.67,0.9618,0.865843,0.01631,1.417657,1.702345
2026-02-26,home,desktop,US,in_article,5477,4739,3885,26,23.48,0.865255,0.819793,0.006692,4.287018,6.043758
2026-02-26,home,desktop,US,sidebar_rectangle,3821,3127,2586,52,5.16,0.818372,0.826991,0.020108,1.350432,1.99536
2026-02-26,home,desktop,US,top_banner,6842,6246,5112,159,27.36,0.912891,0.818444,0.031103,3.998831,5.352113
2026-02-26,home,desktop,US,video_preroll,1642,1517,1393,14,11.3,0.923873,0.91826,0.01005,6.881851,8.111989
2026-02-26,home,mobile,AR,in_article,4287,3799,3141,15,6.98,0.886167,0.826797,0.004776,1.628178,2.222222
2026-02-26,home,mobile,AR,sidebar_rectangle,3030,2598,2462,25,2.12,0.857426,0.947652,0.010154,0.69967,0.861089
2026-02-26,home,mobile,AR,top_banner,4886,4248,3756,95,11.02,0.869423,0.884181,0.025293,2.255424,2.933972
2026-02-26,home,mobile,AR,video_preroll,1528,1277,1156,14,7.22,0.835733,0.905247,0.012111,4.725131,6.245675
2026-02-26,home,mobile,BR,in_article,10481,9690,9040,68,20.53,0.92453,0.932921,0.007522,1.958783,2.271018
2026-02-26,home,mobile,BR,sidebar_rectangle,8670,8289,7473,202,16.79,0.956055,0.901556,0.027031,1.936563,2.246755
2026-02-26,home,mobile,BR,top_banner,15366,13266,12587,296,12.45,0.863335,0.948817,0.023516,0.81023,0.989116
2026-02-26,home,mobile,BR,video_preroll,3911,3462,2679,47,14.1,0.885196,0.77383,0.017544,3.605216,5.263158
2026-02-26,home,mobile,MX,in_article,5005,4272,3517,81,4.06,0.853546,0.823268,0.023031,0.811189,1.154393
2026-02-26,home,mobile,MX,sidebar_rectangle,3587,2802,2614,59,8.33,0.781154,0.932905,0.022571,2.322275,3.186687
2026-02-26,home,mobile,MX,top_banner,6675,6262,5723,72,20.87,0.938127,0.913925,0.012581,3.126592,3.646689
2026-02-26,home,mobile,MX,video_preroll,1719,1490,1318,6,2.52,0.866783,0.884564,0.004552,1.465969,1.911988
