date,site_section,device,country,ad_unit,ad_requests,matched_requests,impressions,clicks,estimated_revenue
2026-02-26,home,mobile,BR,top_banner,15366,13266,12587,296.0,12.45
2026-02-26,home,mobile,BR,in_article,10481,9690,9040,68.0,20.53
2026-02-26,home,mobile,BR,sidebar_rectangle,8670,8289,7473,202.0,16.79
2026-02-26,home,mobile,BR,video_preroll,3911,3462,2679,47.0,14.1
2026-02-26,home,mobile,US,top_banner,9606,8139,7923,229.0,42.4
2026-02-26,home,mobile,US,in_article,7391,6420,4941,41.0,23.81
2026-02-26,home,mobile,US,sidebar_rectangle,6167,5943,4942,71.0,17.93
2026-02-26,home,mobile,US,video_preroll,2977,2395,2070,13.0,17.68
2026-02-26,home,mobile,MX,top_banner,6675,6262,5723,72.0,20.87
2026-02-26,home,mobile,MX,in_article,5005,4272,3517,81.0,4.06
2026-02-26,home,mobile,MX,sidebar_rectangle,3587,2802,2614,59.0,8.33
2026-02-26,home,mobile,MX,video_preroll,1719,1490,1318,6.0,2.52
2026-02-26,home,mobile,AR,top_banner,4886,4248,3756,95.0,11.02
2026-02-26,home,mobile,AR,in_article,4287,3799,3141,15.0,6.98
2026-02-26,home,mobile,AR,sidebar_rectangle,3030,2598,2462,25.0,2.12
2026-02-26,home,mobile,AR,video_preroll,1528,1277,1156,14.0,7.22
2026-02-26,home,desktop,BR,top_banner,10710,9180,8620,74.0,6.31
2026-02-26,home,desktop,BR,in_article,7713,7074,6095,51.0,14.96
2026-02-26,home,desktop,BR,sidebar_rectangle,5720,5218,4477,65.0,7.77
2026-02-26,home,desktop,BR,video_preroll,2838,2408,1876,8.0,13.89
2026-02-26,home,desktop,US,top_banner,6842,6246,5112,159.0,27.36
2026-02-26,home,desktop,US,in_article,5477,4739,3885,26.0,23.48
2026-02-26,home,desktop,US,sidebar_rectangle,3821,3127,2586,52.0,5.16
2026-02-26,home,desktop,US,video_preroll,1642,1517,1393,14.0,11.3
2026-02-26,home,desktop,MX,top_banner,4833,4366,3399,53.0,2.72
2026-02-26,home,desktop,MX,in_article,3705,3122,2471,17.0,6.83
